Basics of Pickle, Q1, [Thu: 4 ; Wed: 5 ; Tue: 6 ],  1, 0,  Japanese Language 
Eating Madoka, Semester, [Wed: 4 ; Wed: 1 ],  1, 0,  Social Sciences 
Basics of Dolphin, Q2, [Mon: 3 ; Mon: 5 ; Wed: 1 ],  5, 0,  Japanese Language 
Help me Kuril Islands, Q1, [Tue: 1 ; Wed: 3 ],  1, 0,  Global 
Basics of Van Lang, Semester, [Tue: 3 ; Mon: 1 ; Tue: 1 ],  2, 0,  Global 
Introduction to YagokoroEirin, Semester, [Sat: 6 ; Thu: 4 ],  1, 0,  Math 
Basics of Kuril Islands, Q2, [Sat: 2 ],  3, 0,  Humanities 
Critiques of YagokoroEirin, Q1, [Mon: 3 ; Mon: 5 ; Mon: 2 ],  4, 0,  Humanities 
Introduction to YagokoroEirin, Semester, [Wed: 6 ; Thu: 1 ],  1, 0,  VTubers 
Advanced Pickle, Q1, [Thu: 4 ; Sat: 5 ],  2, 0,  Math 
Intermediate Suisei, Q1, [Thu: 1 ; Mon: 6 ; Mon: 3 ],  2, 0,  Social Sciences 
Eating Dolphin, Q2, [Thu: 1 ; Sat: 1 ; Wed: 1 ],  2, 0,  Clowning 
Eating Madoka, Q1, [Wed: 6 ; Tue: 6 ; Thu: 6 ],  5, 0,  Japanese Language 
Help me Dolphin, Q2, [Thu: 4 ; Sat: 3 ],  5, 1,  Japanese Language 
Eating Kuril Islands, Semester, [Sat: 6 ; Sat: 2 ],  1, 0,  Clowning 
Help me Dolphin, Q1, [Thu: 4 ; Tue: 5 ],  4, 0,  Clowning 
Intermediate Pickle, Q2, [Sat: 2 ; Thu: 2 ; Tue: 5 ],  3, 0,  VTubers 
Intermediate Kuril Islands, Q1, [Tue: 3 ; Tue: 2 ],  3, 0,  Math 
Analysis of Van Lang, Semester, [Mon: 2 ; Wed: 6 ],  3, 0,  Social Sciences 
Basics of Van Lang, Semester, [Wed: 3 ; Wed: 1 ; Sat: 3 ],  3, 0,  VTubers 
Introduction to Suisei, Semester, [Sat: 6 ; Wed: 4 ; Sat: 4 ],  5, 0,  CSCE 
Introduction to Psyduck, Q1, [Tue: 5 ; Tue: 6 ; Wed: 1 ],  1, 0,  Japanese Language 
Critiques of Van Lang, Q2, [Wed: 6 ],  5, 1,  Social Sciences 
Intermediate Suisei, Q2, [Thu: 4 ; Thu: 6 ],  2, 0,  Japanese Language 
Cirno's Perfect Dolphin, Q1, [Thu: 1 ],  3, 0,  Social Sciences 
Introduction to Suisei, Q1, [Sat: 3 ; Mon: 5 ; Thu: 4 ],  5, 0,  Math 
Intermediate Van Lang, Q1, [Sat: 1 ; Mon: 3 ; Tue: 3 ],  3, 0,  Global 
Cirno's Perfect Perfect Math Class, Q2, [Thu: 3 ],  3, 0,  CSCE 
History of Pickle, Q2, [Tue: 1 ; Wed: 2 ],  3, 0,  Clowning 
Intermediate Kuril Islands, Q1, [Sat: 2 ; Tue: 5 ],  1, 0,  Social Sciences 
Basics of Psyduck, Q2, [Wed: 4 ; Tue: 6 ],  4, 0,  Humanities 
Basics of Psyduck, Q1, [Tue: 2 ; Sat: 2 ],  4, 0,  Social Sciences 
Basics of Perfect Math Class, Q2, [Sat: 2 ; Mon: 1 ; Thu: 5 ],  4, 0,  Clowning 
Introduction to Dolphin, Q2, [Wed: 4 ; Sat: 2 ; Sat: 3 ],  5, 0,  Humanities 
Basics of Dolphin, Q2, [Thu: 1 ; Mon: 6 ],  2, 0,  Global 
History of Psyduck, Q2, [Thu: 3 ; Mon: 2 ],  2, 0,  Humanities 
Analysis of Madoka, Q1, [Thu: 6 ; Wed: 5 ],  3, 0,  Clowning 
Basics of Psyduck, Semester, [Mon: 1 ],  3, 0,  Social Sciences 
Basics of Madoka, Q2, [Thu: 6 ; Wed: 2 ],  2, 0,  Global 
Advanced Touhou, Semester, [Wed: 1 ],  1, 0,  VTubers 
Help me Perfect Math Class, Q2, [Tue: 4 ; Thu: 2 ; Thu: 5 ],  1, 1,  Humanities 
Advanced Pickle, Semester, [Tue: 6 ],  1, 0,  Clowning 
Critiques of YagokoroEirin, Q1, [Sat: 4 ],  1, 0,  Clowning 
Critiques of Psyduck, Q2, [Wed: 6 ; Wed: 1 ; Tue: 4 ],  2, 0,  Math 
Advanced Perfect Math Class, Q1, [Wed: 5 ; Thu: 2 ],  4, 1,  Math 
Basics of Dolphin, Semester, [Thu: 5 ; Mon: 4 ; Sat: 1 ],  5, 0,  Social Sciences 
